,0
9194,2
1501,20
11410,27
5001,10
9899,6
3076,21
10356,7
9935,10
10421,15
3745,21
12014,18
13146,20
5095,21
11892,3
6505,2
4394,18
5371,28
4641,21
7144,26
7391,28
9688,8
6499,1
5434,8
5610,2
11575,19
9480,10
6127,10
6926,26
1472,17
11064,12
5589,27
10883,17
10750,28
10341,5
5848,4
3971,21
13367,19
3635,7
2210,25
578,17
1511,21
6030,26
12786,3
3461,13
8432,19
414,24
6618,16
6181,17
7202,5
4553,10
426,26
621,22
2094,10
7502,14
2380,18
5775,22
2340,13
265,6
3037,16
10467,21
12248,20
7503,14
3478,15
10542,2
4584,14
12686,18
2088,10
12959,24
2142,16
5504,17
11038,8
4024,28
1082,24
1671,13
9038,10
2865,23
8969,2
10110,4
9226,6
1971,23
2608,19
13122,17
7744,17
3574,27
694,3
5272,16
11422,28
6216,22
7286,15
8903,21
11061,11
12699,20
8376,12
4902,25
4925,28
12816,7
11886,2
5130,26
5118,24
12107,2
6386,15
11097,16
8598,11
13203,27
5640,6
1463,15
9883,4
376,20
12396,10
10224,19
2216,26
10956,26
11703,7
9552,19
8644,17
9019,8
9282,13
12266,22
11987,15
3031,15
11283,11
2392,20
3623,5
2484,3
9597,24
7467,10
7284,15
2046,4
5642,6
1254,17
952,8
3784,26
10570,6
8048,27
4622,18
7068,16
9132,22
1718,19
10203,16
5114,24
9133,22
2894,26
8251,24
9675,6
4750,6
8696,24
11178,26
3707,16
2564,13
3290,20
13252,5
3613,4
1536,25
1056,21
1146,4
4561,11
1937,19
5605,1
1031,17
7800,24
3193,8
4639,20
6605,14
4714,2
6651,20
2543,10
96,13
2474,2
2684,28
2522,8
7728,15
11512,12
2239,28
3902,12
7105,21
4963,5
1042,19
2389,19
8875,18
8426,18
1592,4
2391,19
11212,2
12331,2
10437,17
8890,20
13039,6
7524,17
3495,17
13243,4
3,1
5763,21
4395,18
9948,12
11234,5
5493,15
4026,28
3519,20
3251,15
3887,10
11289,12
439,27
12677,17
5306,20
6438,21
10481,23
11876,1
11895,3
5397,3
6027,26
88,12
11233,5
2576,15
12955,24
11820,22
8159,12
11728,11
274,7
1281,21
8846,14
10639,14
6259,27
5195,6
4590,14
5412,5
5922,13
7700,11
11731,11
7732,15
4477,28
5584,27
415,24
11467,6
2250,2
8809,10
5038,14
9850,28
4463,26
710,5
6705,27
11079,13
407,23
7773,20
7495,13
11058,11
11297,13
10319,2
8075,2
13217,1
12565,3
11158,23
5245,12
8726,27
10847,12
13383,21
7290,16
4191,20
8161,13
1523,23
9026,9
1110,27
11033,8
1406,8
8062,28
4706,1
8773,5
7100,20
10775,3
3694,14
7660,6
2559,12
8237,22
12387,9
9887,4
7319,19
633,24
3411,7
4783,10
2168,20
11996,16
7752,18
131,17
3855,6
6851,17
9059,13
10567,5
774,13
11390,24
11103,16
1631,8
2333,12
11437,2
12769,1
2540,10
469,3
5646,6
12697,20
5566,24
12274,23
9575,21
11566,18
11034,8
8852,15
10199,15
598,19
13430,27
563,15
1905,15
6014,24
4359,13
8274,27
1576,2
9304,16
6480,27
6790,9
11598,22
9978,16
8025,24
6459,24
79,10
8091,4
3492,17
2372,17
11545,16
4299,6
8067,1
9373,24
8574,8
12024,20
7801,24
6466,25
8956,28
6586,12
2091,10
6300,4
1904,15
7807,24
2837,19
5113,24
2498,5
1851,8
5216,9
2030,2
2588,16
4023,27
12318,28
8493,26
1145,4
3776,25
4754,7
3418,8
10427,16
9308,16
12367,6
852,23
1494,19
6952,2
6765,6
2464,1
10062,26
5500,16
1805,2
2288,7
387,21
7689,10
2937,4
13254,5
188,24
1123,1
8748,2
6584,12
10947,25
12782,2
12474,20
10477,22
1594,4
7258,12
6713,28
500,7
7532,18
6343,9
12325,1
3409,7
2231,27
7920,11
2633,22
4003,25
11791,18
9387,26
590,18
5212,8
6494,28
12430,14
12641,13
2075,8
12883,15
10553,4
10964,27
4640,21
5711,14
777,14
3275,18
2347,14
10575,6
1194,10
9161,26
6884,21
9787,20
12031,20
2304,9
12135,5
4725,3
9790,20
8482,25
1113,28
2982,9
656,27
6942,28
9070,14
4301,6
7219,7
13349,17
10064,27
7194,4
2813,16
4526,6
565,15
4337,11
1803,2
7676,8
6576,11
6571,10
840,22
1642,10
11786,18
8287,28
7591,25
12202,14
2666,26
7908,9
46,6
1149,4
6270,28
2943,4
9269,11
8909,22
765,12
4742,5
4793,12
1566,28
4520,6
7283,15
7688,10
2620,20
7441,7
9511,13
2613,19
8431,18
3026,15
3542,23
12168,10
5267,15
10667,18
1011,15
5331,23
5860,5
8425,18
6041,28
12469,19
2685,28
7518,16
7070,16
5144,28
7637,3
6084,5
8029,24
10702,22
4246,27
11412,27
9246,8
9121,21
11524,13
5421,6
7150,26
4029,28
1345,1
1444,13
11831,23
5496,16
4046,2
8074,2
9735,13
2422,23
9355,22
2732,6
80,11
8832,13
6596,13
7136,25
335,14
13086,12
7749,17
3387,4
7711,12
1572,1
9371,24
11645,28
879,26
3254,15
11484,8
1509,21
1896,14
8798,8
5770,22
8270,26
12143,6
7612,28
1845,7
111,14
472,4
6372,13
13386,22
10683,20
12351,4
10786,5
6839,15
13186,25
9478,9
11182,26
1183,8
13387,22
2861,22
4353,13
4702,28
3540,23
2108,12
4201,22
10154,10
3447,11
7911,9
5202,7
4441,24
8063,28
9856,1
6298,4
4308,7
3838,4
10413,14
13082,12
4738,5
8257,25
11833,24
12534,27
11520,13
9244,8
3219,11
6137,12
2186,22
5563,24
7453,8
1193,10
45,6
11241,6
976,11
10897,19
6746,4
1578,2
12357,5
3268,17
2963,7
6072,4
7567,22
1584,3
3463,13
7525,17
11474,7
10282,26
8703,24
1975,23
11504,11
4329,10
5257,14
315,12
11530,14
5790,24
10074,28
8935,25
10484,23
8675,21
2840,20
1624,8
6769,7
8221,20
12650,14
9112,20
2315,10
6523,4
4245,27
12238,18
1071,22
3562,26
4953,4
12349,4
11311,14
2404,21
11164,24
3035,16
5358,26
409,24
9722,12
37,5
5568,25
576,17
6029,26
3375,2
2973,8
12528,27
8593,11
713,6
11753,14
12105,2
7332,21
1087,24
10675,19
2335,12
6282,2
10438,17
4455,25
1454,14
7985,19
3611,4
11159,23
881,27
2906,28
1710,18
6006,23
12880,15
11752,14
5933,14
3941,17
2245,1
3698,15
12570,4
7894,7
6560,9
8204,18
8272,27
9807,22
239,2
7746,17
3678,12
11643,28
1597,4
10565,5
1097,26
394,22
9689,8
1901,14
5186,5
10703,22
12126,4
1180,8
9311,16
1911,15
5632,5
3353,28
12136,6
3006,12
2214,25
8481,25
2781,12
6005,23
6964,3
11745,13
4630,19
4064,5
8968,2
2879,24
3859,7
6247,25
11301,13
11424,1
12927,20
11635,27
12912,19
12676,17
8951,27
8979,3
1691,16
5749,19
4250,28
6778,8
7782,21
123,16
9754,16
1952,21
12724,23
10409,14
5459,11
9896,6
9880,4
3680,13
3527,21
3643,8
906,2
5773,22
12471,19
3118,26
11213,2
11882,2
5389,2
3886,10
6020,25
13182,24
13158,21
1891,13
4043,2
5684,11
8346,8
295,9
12074,26
1046,19
4989,8
11734,11
3616,5
1785,28
10316,2
286,8
5263,14
4722,3
1758,24
5357,26
1284,21
4660,23
8509,28
11743,12
11359,20
8059,28
10814,8
9056,13
4412,20
3033,16
7883,6
10876,16
9867,2
549,13
3822,2
5028,13
11222,3
5665,9
1731,21
10241,21
5828,1
11981,14
12939,22
3691,14
5528,20
9391,26
2648,24
2586,16
5163,2
8772,5
12169,10
5858,5
5927,13
3160,4
7506,15
5795,25
7464,10
10449,19
12149,7
2377,18
11021,6
12297,26
11863,27
4404,19
5620,3
3115,26
8382,12
10898,19
6649,20
2025,2
11610,24
10986,2
5706,14
4580,13
8745,2
13233,3
2585,16
1303,23
3282,19
4411,20
7078,17
6804,11
12639,12
9568,21
7109,21
9173,27
9188,1
12420,13
12986,28
11170,25
9186,1
1613,6
10556,4
6730,2
9736,14
8021,23
5006,10
12447,16
3884,10
4295,5
3989,23
12452,17
2981,9
12308,27
467,3
3785,26
11736,12
7780,21
12017,19
12142,6
11747,13
106,14
12164,9
6211,21
2638,22
5261,14
11875,1
12322,1
3526,21
12155,8
411,24
10604,10
8317,4
12106,2
7307,18
11373,22
11913,6
3546,24
9741,14
11100,16
4031,28
9003,6
11118,18
1503,20
11932,8
7784,22
7203,5
8440,20
7447,7
8387,13
10612,11
13372,20
4889,24
1862,9
13123,17
10133,7
7672,8
2360,16
7066,16
12298,26
2133,15
8542,4
8731,28
2406,21
29,4
12068,25
11264,9
2801,15
12209,15
10650,16
2922,2
7234,9
568,16
11522,13
9626,28
6814,12
5239,11
1245,16
11442,3
6977,5
1458,15
1943,19
1835,6
11633,27
316,12
108,14
11499,10
9212,4
10530,1
12243,19
4190,20
10330,4
13364,19
5841,3
5809,27
10151,9
13150,20
1748,23
10822,9
